,embedding_x,embedding_y
0,50.81712,40.706398
1,-9.595375,1.6381938
2,6.6214366,56.69804
3,62.638588,9.791942
4,43.675007,-48.542057
5,-43.07216,29.541487
6,-2.4634209,41.578743
7,-36.70716,50.617455
8,22.371168,31.221605
9,66.5005,1.3958462
10,47.73327,54.740227
11,-24.005245,-11.170966
12,-3.1570013,56.795555
13,-59.403835,-37.593018
14,-20.04232,17.547102
15,22.403585,31.981455
16,-38.402298,-71.46583
17,-18.199492,74.12813
18,45.745388,56.745613
19,13.841075,38.548428
20,0.0052138646,60.220272
21,-21.838694,73.06342
22,-18.114473,35.724354
23,-4.7838244,40.458736
24,-5.1641383,23.468725
25,45.71324,56.77973
26,-45.252296,18.871328
27,43.994743,13.957599
28,7.099364,7.953
29,51.75187,49.43283
30,17.187536,28.494867
31,-26.139091,16.836193
32,-21.891409,79.418236
33,47.8621,54.509674
34,41.737892,-51.7365
35,-11.299721,48.89546
36,21.82933,31.804825
37,-35.029182,30.63803
38,-17.215073,25.069527
39,52.77798,49.19363
40,-0.14051469,59.782566
41,4.5576053,-37.323967
42,-15.566398,24.099438
43,-42.588432,-62.9602
44,-9.736937,-13.801938
45,-49.76746,-5.798669
46,52.583668,49.246685
47,25.552034,28.952229
48,-12.486531,3.3870242
49,-12.130081,-42.285202
50,58.61326,-25.50339
51,54.987873,8.826858
52,-33.940117,-4.264868
53,8.695793,54.063004
54,10.339486,53.036987
55,47.047874,55.514545
56,56.892372,-17.78579
57,-45.009136,17.931438
58,12.242811,38.769848
59,-19.062908,-41.19347
60,46.33994,56.21122
61,-42.499664,5.835176
62,-15.7515745,73.40217
63,47.407578,55.116035
64,-16.333057,68.068886
65,48.877815,52.590225
66,25.554241,29.16868
67,55.624626,5.2800303
68,25.384249,28.652199
69,79.145836,-37.258976
70,-2.8583133,23.00861
71,13.220022,32.486443
72,45.946964,56.60782
73,46.847694,55.72187
74,45.7416,56.750298
75,68.77375,-10.584652
76,19.96189,-63.322346
77,12.931471,38.310272
78,7.4012585,43.75377
79,-57.421078,35.540527
80,45.946278,56.608337
81,60.218548,-7.2345166
82,46.870743,55.704033
83,52.3359,49.313232
84,39.423294,-68.85348
85,10.587611,56.078278
86,1.9985698,81.22241
87,-7.7223783,-19.077026
88,-1.2193098,59.44577
89,-4.8391404,22.488037
90,26.343472,-10.970253
91,63.801193,9.97547
92,-10.281074,58.118366
93,48.635494,53.09054
94,-25.742788,20.913172
95,47.861275,54.50937
96,24.962698,27.202826
97,79.72678,-37.22289
98,30.497663,4.2312045
99,5.8476663,-55.15897
100,-10.380131,57.917683
101,46.487736,56.08258
102,48.92292,52.525936
103,3.1073406,58.72934
104,0.4768244,68.3246
105,-22.456284,69.79184
106,20.763754,-63.194126
107,-8.243486,47.312405
108,47.884438,53.310043
109,45.344273,55.91907
110,-0.9628086,20.082468
111,47.738403,53.442497
112,-19.06717,75.08397
113,45.0738,56.28697
114,-55.240322,38.217503
115,4.1184196,59.56586
116,7.2491755,60.538116
117,46.646183,54.617115
118,1.5706838,56.423294
119,5.8240776,33.91617
120,5.5838037,34.245895
121,-9.312771,48.922787
122,-16.056116,-47.671135
123,-8.528339,46.05451
124,-17.475437,57.330395
125,10.236165,30.799866
126,-20.771955,25.151623
127,45.09407,56.207355
128,1.4668826,-57.54956
129,-40.616673,19.140133
130,46.7835,54.439022
131,-7.379081,44.931126
132,23.011288,-81.130035
133,55.089878,7.185096
134,2.3500154,75.125534
135,-9.556326,-33.644936
136,5.366457,60.18037
137,48.178127,52.92537
138,46.445107,54.813496
139,-35.800285,27.172148
140,47.61252,53.613983
141,17.303532,-11.579761
142,-8.464925,46.363766
143,-36.76931,50.585926
144,-38.693813,31.912762
145,-1.0140771,60.32626
146,56.495556,-9.670942
147,-9.912999,47.27018
148,-39.06545,32.415127
149,-22.64223,25.44369
150,-36.72591,17.585958
151,-54.34263,15.405716
152,-59.425484,30.074965
153,47.1125,54.085052
154,57.301083,-3.339915
155,39.765175,-69.26316
156,51.968037,49.27693
157,-1.8855163,29.4752
158,47.425636,53.745106
159,47.969337,53.149414
160,47.7537,53.452267
161,-15.812022,-1.7113605
162,-33.43602,32.055225
163,-26.360193,40.001785
164,12.066512,38.558594
165,-6.182719,-67.41533
166,-55.375935,34.268864
167,44.604298,56.47833
168,45.483273,55.782074
169,-8.296903,47.817825
170,-2.3649795,57.126534
171,-8.678875,-13.105266
172,12.431881,37.872303
173,5.8986955,-43.415516
174,-8.61846,2.8709657
175,-34.64002,22.427011
176,-17.666714,35.49688
177,-52.791393,14.681156
178,47.2737,53.91881
179,4.153587,78.734184
180,1.3716648,57.62025
181,-7.6244583,-6.3325825
182,2.310741,59.345005
183,2.9980536,13.128328
184,-19.776075,35.60879
185,42.714493,-28.065004
186,14.564458,-20.543139
187,-13.8926325,-0.39670292
188,22.803114,32.07622
189,32.152554,1.5199478
190,4.3959174,-37.688717
