,embedding_x,embedding_y
0,13.326457,-7.614496
1,-3.7059944,9.926754
2,0.83765477,-0.7101946
3,1.5630852,14.378255
4,13.319506,-0.4631231
5,-5.5424676,0.60966074
6,-0.57944965,0.34592384
7,-3.8148174,-1.7498201
8,2.0879023,1.4358715
9,0.86257225,12.927509
10,12.502469,-7.37164
11,-6.5037866,9.3978815
12,1.6844923,0.22099419
13,13.599049,4.9166503
14,-3.0506399,3.1535559
15,2.0168514,1.2852447
16,9.823814,8.721589
17,-0.14656615,-4.746268
18,12.079169,-7.310099
19,0.79733044,1.5806766
20,1.4318725,-0.34467787
21,-0.45449537,-4.622668
22,-1.6788192,0.46897608
23,-0.704074,0.5263463
24,-2.0379133,3.1097124
25,12.078483,-7.325646
26,-5.793353,2.105107
27,1.5227556,17.14049
28,-0.8575278,10.687001
29,13.280933,-7.271185
30,1.4856154,2.6143835
31,-3.9865983,3.0498247
32,-0.1665324,-5.4834814
33,12.558391,-7.374589
34,13.677339,-0.33607996
35,-0.99965584,-1.0638056
36,1.9649525,1.301375
37,-4.1597743,1.1425644
38,-2.322134,2.4676788
39,13.3691025,-7.1952195
40,1.4695951,-0.23947872
41,10.556049,16.689001
42,-1.8128257,2.5626135
43,10.039032,7.4799166
44,-5.6051493,11.271273
45,-8.327345,4.288429
46,13.347216,-7.1976156
47,2.3864675,1.5190812
48,-3.7525864,9.311939
49,11.799921,16.230825
50,-3.1290026,14.381738
51,1.6946654,15.623767
52,-6.4217353,5.470384
53,0.5960851,-0.5889867
54,0.47591195,-0.566525
55,12.365474,-7.3553963
56,-2.5869987,13.221292
57,-5.81511,2.1853254
58,0.64717734,1.5949302
59,12.563425,16.178354
60,12.141512,-7.324916
61,-6.184508,3.6882997
62,-0.11929125,-4.5664434
63,12.418765,-7.359389
64,-0.22312964,-3.8086984
65,12.820263,-7.368745
66,2.3623428,1.5095197
67,1.7583189,15.283091
68,2.3668003,1.520284
69,11.11327,-4.038948
70,-1.8174198,3.203575
71,0.95138013,2.350892
72,12.064882,-7.3138657
73,12.346568,-7.35281
74,12.078458,-7.3123894
75,-0.94766116,13.305835
76,14.768095,4.024558
77,0.70274466,1.6455582
78,0.45839632,0.78020376
79,-6.8376074,-0.6482056
80,12.083374,-7.3128576
81,-1.3460962,12.118953
82,12.337115,-7.3532534
83,13.317989,-7.217221
84,16.10542,0.032457925
85,0.5593716,-0.93404347
86,2.5679011,-3.9441795
87,-6.171178,11.879409
88,1.5394381,-0.09839492
89,-2.3277414,3.0801237
90,5.844252,18.980188
91,1.6406959,14.204723
92,-0.3480971,-2.1311398
93,12.731334,-7.3874373
94,-3.684183,2.4199972
95,12.53091,-7.3727827
96,2.4246113,1.5680228
97,11.077539,-4.053364
98,3.2214894,19.183577
99,11.835695,10.657264
100,-0.37721512,-2.0935454
101,12.1949415,-7.3387465
102,12.765031,-7.378936
103,1.1199793,-0.69172126
104,1.5447087,-3.1346686
105,-0.6189581,-4.4682117
106,14.929956,3.7332187
107,-0.71585584,-0.79605883
108,12.688591,-7.402419
109,12.061612,-7.2924333
110,-1.7441732,3.5849802
111,12.649769,-7.3870945
112,-0.19034736,-4.8346014
113,12.043774,-7.288522
114,-6.634245,-0.7335297
115,1.1441288,-0.8530756
116,1.0854594,-1.2991631
117,12.38865,-7.3592253
118,1.0539083,0.09767705
119,-0.09527296,1.995323
120,-0.14407167,1.9383583
121,-0.7947521,-0.98141074
122,12.340803,15.292624
123,-0.8022056,-0.56723905
124,-0.6443226,-2.538858
125,0.413079,2.5464804
126,-2.9563758,2.242031
127,12.071492,-7.301528
128,12.251118,10.968557
129,-5.3236084,2.1033363
130,12.4599285,-7.3706965
131,-0.7570671,-0.24241492
132,17.600622,3.0914152
133,1.7512383,15.493018
134,2.1213663,-3.4197154
135,11.971509,17.490665
136,1.1307379,-1.0835876
137,12.713208,-7.3983793
138,12.366543,-7.352566
139,-4.49451,1.4351274
140,12.657856,-7.360373
141,6.612352,19.817001
142,-0.79990536,-0.633204
143,-3.860881,-1.7977892
144,-4.7142863,0.64506054
145,1.4637032,-0.3119596
146,-2.0527556,11.933534
147,-0.919706,-0.8821505
148,-4.7843065,0.5588327
149,-3.1015067,2.1012535
150,-4.7737365,2.5721233
151,-7.6569595,1.4632652
152,-7.502381,-0.36673006
153,12.538446,-7.3731656
154,-1.1109384,11.336849
155,16.122854,0.019594394
156,13.287201,-7.246722
157,-1.1084741,2.262696
158,12.625856,-7.3550305
159,12.695871,-7.396275
160,12.667173,-7.390913
161,-4.8419275,9.50382
162,-4.012466,1.2345394
163,-2.6763852,-0.70355254
164,0.6225228,1.6181518
165,13.623122,11.50757
166,-6.6157727,-0.4615465
167,12.06589,-7.30281
168,12.084353,-7.302602
169,-0.6945759,-0.9753117
170,1.6856607,0.22394761
171,-5.5080476,11.293442
172,0.6568866,1.6893224
173,10.240264,15.354527
174,-3.4149036,9.898628
175,-4.267533,1.823282
176,-1.6570418,0.5060791
177,-7.45932,1.5660121
178,12.554243,-7.371721
179,2.2696648,-3.4452543
180,1.2484555,-0.20955187
181,-4.4539003,10.8128805
182,1.200387,-0.5657926
183,-1.5620346,9.55304
184,-1.9110674,0.22859174
185,-4.0437303,13.408316
186,8.004629,19.255789
187,-4.4073625,9.568988
188,2.0587049,1.2953897
189,3.5470388,18.86654
190,10.678643,16.679413
191,0.7101932,2.1215236
192,12.142167,14.696278
193,12.073011,-7.3018494
194,1.5691155,0.07083816
195,10.992617,17.889511
196,7.754976,19.880827
197,14.283672,-7.861725
198,12.113088,-7.2987323
199,13.270752,9.695606
200,12.244148,10.809279
201,12.065724,-7.292326
202,-8.449242,4.2725368
203,0.39218014,0.77549773
204,-0.17263266,-5.9258904
