,embedding_x,embedding_y
0,6.2144647,5.1033854
1,5.6755333,-13.223303
2,5.024643,-13.574167
3,14.521994,5.1611514
4,11.237577,3.7546225
5,8.807279,5.637158
6,4.7755876,-14.945818
7,6.2217946,5.0417047
8,1.9998285,1.4694195
9,14.084123,5.1395965
10,-3.694555,-2.5903099
11,-1.5048127,5.7102637
12,4.5851326,-15.663742
13,12.444489,9.589668
14,4.952991,-13.916244
15,4.617388,-15.624617
16,1.4870788,2.2528253
17,1.7090601,13.635228
18,-10.216629,0.7311912
19,4.6101494,-14.885868
20,5.4095764,6.452178
21,7.1744237,3.6925094
22,5.8969045,-11.046397
23,14.920346,-1.8040494
24,4.7059407,-14.687274
25,-10.215717,0.7316644
26,11.131108,2.2020938
27,11.811306,5.58437
28,13.674068,-4.0227866
29,-0.906731,8.627043
30,4.322162,-12.593971
31,14.982406,-3.073778
32,-3.8570557,-1.5524555
33,-4.210662,-2.2213936
34,12.229287,9.19212
35,15.67724,-1.5406352
36,4.6249075,-15.6109495
37,7.9503717,-5.773169
38,4.96631,-13.5458975
39,9.74076,-5.4154572
40,9.028571,-4.2196245
41,7.2592187,-11.808419
42,2.7605717,-5.1851816
43,9.820474,7.854515
44,1.5688266,13.683685
45,-11.741484,3.6087303
46,8.025221,10.215722
47,4.6223493,-15.612821
48,14.623967,-3.973713
49,8.850652,-3.1411986
50,-10.84329,2.5971496
51,11.964273,3.3701138
52,-1.389356,5.657842
53,6.976571,19.965721
54,14.951687,-1.7784958
55,-6.5228343,1.2133582
56,-1.68134,4.90893
57,-0.71449965,5.2671394
58,6.950609,19.983274
59,11.247391,3.7824128
60,-10.150933,14.362812
61,11.040245,1.9429139
62,8.312654,2.8751163
63,-14.197899,-2.78919
64,-1.3534553,10.081567
65,1.2302456,12.061063
66,4.628184,-15.598109
67,7.729388,-3.5633307
68,4.6173773,-15.330079
69,9.839872,-13.472444
70,5.162322,-14.404841
71,4.718787,-11.802143
72,-10.14748,0.87005466
73,-9.842594,-7.2507668
74,-10.216224,0.7329351
75,6.200187,5.0140667
76,6.0361795,-13.313983
77,4.607291,-14.831439
78,4.6283627,-11.061283
79,-1.3236909,13.904971
80,-10.146056,0.87561995
81,8.997098,-3.0372798
82,-9.844048,-7.250429
83,1.3440607,4.781597
84,12.925032,9.906618
85,15.635431,-1.6816775
86,-0.79852664,9.244185
87,-10.747414,1.9981495
88,6.7101026,20.10829
89,7.7752643,-11.139626
90,7.8214216,-4.067786
91,5.364505,6.358765
92,5.9614806,4.2705
93,-8.116642,8.743808
94,5.9212503,-11.057914
95,-4.206748,-2.2204955
96,4.617557,-15.298825
97,9.873893,-13.498837
98,-10.051798,1.4901049
99,18.273264,-6.182441
100,9.062147,-4.352105
101,-9.232307,-2.6889627
102,1.4579598,12.215613
103,5.02777,-14.449938
104,6.6195045,20.169416
105,8.397329,3.4194021
106,7.7540736,-4.3254786
107,7.77115,-11.158649
108,-8.213082,8.633563
109,-10.1596775,0.8733681
110,7.3199563,-11.82143
111,-8.536185,8.005986
112,8.61397,3.561326
113,-10.216298,0.73157597
114,5.3641467,6.377586
115,7.8036942,-4.402563
116,2.6505837,-4.801427
117,-14.454438,-2.856318
118,4.6139584,-14.751365
119,7.7622757,-11.164966
120,4.7691636,-14.516067
121,5.894537,-11.048948
122,4.1613727,-0.04328928
123,6.2420764,-10.471973
124,9.446372,-3.8679817
125,4.613284,-11.158934
126,4.729774,-11.099583
127,-10.216615,0.73127776
128,7.7045326,-5.3911247
129,8.662591,9.986195
130,-14.052742,-2.7168038
131,6.2285857,-10.491554
132,9.850809,-13.482269
133,11.0937,1.5362196
134,7.081209,3.1672084
135,-11.746846,3.612942
136,7.851223,-4.503351
137,-8.204848,8.577296
138,-6.5230293,1.2006439
139,9.74731,-3.2096183
140,-8.524616,7.995401
141,-11.74634,3.617055
142,15.76763,-1.7489132
143,11.691613,3.1031764
144,9.118759,-2.921593
145,7.1011114,3.2003741
146,8.485714,-3.7102318
147,4.6887717,-11.084164
148,10.989789,1.5829968
149,14.8733835,-1.8699064
150,7.943362,-5.7698464
151,13.198811,5.8885736
152,1.4298706,13.639282
153,-3.7016497,-2.5874758
154,6.530276,-11.892388
155,11.912389,8.3762455
156,-1.2682977,2.6335783
157,15.30289,-1.6298524
